127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000306
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000351
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000360
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000495
127.0.0.1, 2015-03-22 02:48:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000896
127.0.0.1, 2015-03-22 02:48:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000329
127.0.0.1, 2015-03-22 02:48:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000325
127.0.0.1, 2015-03-22 02:48:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000843
127.0.0.1, 2015-03-22 02:48:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001718
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.025813
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000554
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002078
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000775
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001589
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001933
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001699
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000313
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002612
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002637
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001463
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000437
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000362
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000349
127.0.0.1, 2015-03-22 02:49:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000360
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.029629
